Model,Accuracy,Precision,Recall,F1-Score,AUC
Baseline ANN,0.782608695652174,0.746031746031746,0.9215686274509803,0.8245614035087719,0.8350071736011478
GA-Optimized ANN,0.8260869565217391,0.7966101694915254,0.9215686274509803,0.8545454545454545,0.9043519846963175
PSO-Optimized ANN,0.8315217391304348,0.8256880733944955,0.8823529411764706,0.8530805687203792,0.9363940698230512
Hybrid GA-PSO-ANN,0.8260869565217391,0.7966101694915254,0.9215686274509803,0.8545454545454545,0.904232424677188
Hybrid Ensemble,0.8260869565217391,0.8125,0.8921568627450981,0.8504672897196262,0.9164275466284074
