Model,Accuracy_mean,Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1-Score_mean,F1-Score_std,AUC_mean,AUC_std
Baseline ANN,0.8017046804466619,0.04946553320843271,0.8061733374921255,0.06345148651770655,0.8523587652882935,0.02920998370776912,0.8273615490000343,0.03868879365444033,0.8759038027188659,0.03757237008069429
GA-Optimized ANN,0.8061000237586124,0.024977706835621095,0.8135775849028061,0.03668416880636648,0.846476412347117,0.03802815498335871,0.8285533964072185,0.02072900937195706,0.8783023424293649,0.02413346366057476
PSO-Optimized ANN,0.8050427655024948,0.04201472573822971,0.8154980297782096,0.04874567491189768,0.8406523005241701,0.03605567932444928,0.8271399652747148,0.034783126485100554,0.883295689683746,0.03372048477575025
Hybrid GA-PSO-ANN,0.8039261107151342,0.023070765769255677,0.8062746022945282,0.03786990293538916,0.854319549602019,0.037022879147527964,0.8283418428303781,0.0182606460599932,0.8771512517105368,0.027019042361921708
